area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3,,125
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2,,81
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1,0,38
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660,1,0,48
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2,2,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2,0,33
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459,2,1,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2,1,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2,1,50
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670,3,1,99
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2,3,75
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,44
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3030,,,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2,2,185
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407,4,1,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2,2,45
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395,3,2,240
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2,1,55
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700,5,3,650
Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2,2,44
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000,8,0,140
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,1,62
Super built-up  Area,18-Apr,Gunjur,2 BHK,1140,2,3,43
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2,1,57
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350,7,0,85
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2,1,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,500,3,2,100
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2,1,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3,1,101
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2,1,70
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3,2,140
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2,1,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2,3,40
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3,3,205
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1,0,22
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400,6,3,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2,2,105
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,3200,,,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2,2,78
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2,2,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5,2,102
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000,7,2,210
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3,2,88
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2,2,37
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2,2,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710,6,3,160
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2,2,70
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2,1,28.88
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,1450,2,2,70
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200,4,2,155
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2,3,80
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3,2,90
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894,4,1,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2,1,48
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2,1,65
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3,1,90
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3,3,138
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1,1,17
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400,2,1,150
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2,2,43
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2,2,50
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2,2,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2,1,98
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,2,229
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2,2,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2,2,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3,3,120
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2,2,75
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,1,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2,1,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700,4,1,225
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497,3,2,140
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2,3,64
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3,1,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2,2,75
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276,3,3,23
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3,2,120
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,1,200
Super built-up  Area,18-Mar,Hebbal,4 BHK,5500,4,0,477
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4,2,150
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2,2,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2,1,34
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3,2,65
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2,1,54
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2,1,78
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950,7,0,115
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3,3,110
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600,3,1,75
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1,1,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4,0,210
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2,83
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2,1,57
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2,1,65
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1105,2,0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3,1,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2,2,85.05
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000,8,,250
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5,1,213
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3,1,105
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2,1,60
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2,1,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7,2,225
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3,,110
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2,1,35
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3,3,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034,5,,185
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4,2,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,1,58
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,1250,2,3,44
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4,,235
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2,2,50
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2,1,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,2,50
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3,3,135
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3,1,145
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750,4,0,760
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2,3,48
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3,1,150
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200,4,2,420
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3,1,175
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1240,2,0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2,2,75
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2,1,60
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2,2,70
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6,0,99
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1,1,11
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2,1,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2,1,56
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3,3,65
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500,3,2,100
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600,3,2,85
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400,1,0,14
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1,2,67
